,FlowStep,Thingname,ActorModifiedby,Line_number,CreatedBy,tag_number,Created_By,Startedby,"CONVERT_TZ(t3.completed, 'GMT', 'US/Pacific')",PartNumber,created
510,3BM-29500,TG12025500318V,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,25:00.9,1091594-01-H,59:34.0
511,3BM-29500,TG1202550031MY,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,25:56.5,1093905-01-H,06:58.0
512,3BM-29500,TG12025500318S,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,26:30.3,1091594-01-H,59:34.0
513,3BM-29500,TG1202550031S8,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,26:43.6,1093906-01-H,08:51.0
514,3BM-29500,TG12025500318E,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,28:15.6,1091594-01-H,59:31.0
515,3BM-29500,TG1202550031TK,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,28:16.7,1093906-01-H,09:46.0
516,3BM-29500,TG1202550031N9,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,29:36.9,1093906-01-H,07:07.0
517,3BM-29500,TG12025500318G,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,29:45.4,1091594-01-H,59:32.0
518,3BM-29500,TG12025500327V,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,31:08.4,1093906-01-H,16:03.0
519,3BM-29500,TG1202550031R6,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,31:15.1,1091594-01-H,08:18.0
520,3BM-29500,TG1202550031R7,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,32:43.9,1091594-01-H,08:18.0
521,3BM-29500,TG12025500318W,3BM1-29500-01,LINE1,NMAMC-LINE-01,,,3BM1-29500-01,34:13.3,1091594-01-H,59:35.0
522,3BM-29500,TG1202550032B3,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,35:03.0,1093906-01-H,17:38.0
523,3BM-29500,TG1202550031RB,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,35:43.5,1091594-01-H,08:18.0
524,3BM-29500,TG1202550031RC,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,37:20.6,1091594-01-H,08:18.0
525,3BM-29500,TG1202550031R8,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,38:49.6,1091594-01-H,08:18.0
